Date,Tavg,CDD,HDD,Tmax,Tmin,PDSI,PHDI,PMDI,Precip,PZI,Year,Total carbon emissions from fossil fuel consumption and cement production (million metric tons of C),CSIRO - Adjusted sea level (inches)
190912,51.43,1113,4796,63.33,39.54,1.82,1.82,14.68,31.19,0.59,1909,785,1.27559055
191012,52.42,1119,4730,64.93,39.9,-2.47,-2.47,-29.59,24.91,-1.71,1910,819,1.271653542
191112,52.03,1286,4644,63.97,40.09,-2.4,-3.91,-40.89,29.52,-0.56,1911,836,1.598425195
191212,50.23,1088,5124,61.97,38.49,2.61,2.2,28.78,30.48,0.92,1912,879,1.476377951
191312,51.54,1143,4560,63.48,39.6,0.49,0.98,6.96,29.84,0.09,1913,943,1.547244093
191412,51.84,1164,4854,63.74,39.94,-0.27,-0.41,-3.08,28.81,-0.43,1914,850,1.795275589
191512,51.45,1050,4742,63.05,39.84,2.09,2.02,24.15,32.77,1.45,1915,838,2.10629921
191612,50.85,1127,4933,63.12,38.57,2.4,3.31,33.63,29.42,0.5,1916,901,2.031496061
191712,50.06,1039,5330,62.5,37.62,-0.64,0.38,-3.61,25.35,-0.75,1917,955,1.854330707
191812,51.87,1184,4775,63.93,39.8,-2.93,-4.18,-45.59,28.78,-1.03,1918,936,1.791338581
191912,51.55,1195,4708,63.31,39.78,1.77,0.96,18.38,31.76,1.11,1919,806,1.854330707
192012,51.07,1056,4935,62.7,39.45,3.47,3.47,41.01,31.3,1.08,1920,932,1.905511809
192112,53.8,1328,4166,65.96,41.63,-0.55,0.92,2.25,28.78,-0.56,1921,803,1.988188974
192212,52.03,1239,4583,64.05,40.01,-0.47,-0.24,-3.96,29.89,-0.31,1922,845,1.952755904
192312,51.64,1115,4711,63.41,39.87,1.15,0.54,9.14,31.68,0.95,1923,970,1.999999998
192412,50.59,1051,5072,62.92,38.26,-0.39,0.59,4.31,26.52,-0.53,1924,963,1.712598423
192512,52.52,1274,4687,64.62,40.41,-2.06,-3.19,-32.85,26.96,-0.92,1925,975,1.791338581
192612,51.95,1152,4915,63.87,40.03,0.42,-0.38,5.55,30.94,0.44,1926,983,2.047244092
192712,52.15,1111,4470,63.91,40.38,2.82,2.82,33.8,32.06,1.03,1927,1062,2.003937006
192812,51.92,1105,4680,63.92,39.9,2.77,2.77,30.06,29.5,0.69,1928,1065,1.850393699
192912,50.85,1129,4839,62.92,38.78,1.09,1.95,18.58,30.15,0.34,1929,1145,1.905511809
193012,51.98,1225,4686,64.19,39.76,-1.98,-1.82,-21.79,25.58,-1.29,1930,1053,2.062992124
193112,53.54,1330,4251,65.64,41.43,-4.18,-4.53,-53.96,27.52,-1.54,1931,940,2.047244092
193212,51.73,1201,4586,63.76,39.7,0.08,-1.81,-8.43,30.44,0.2,1932,847,2.271653541
193312,52.99,1336,4485,65.41,40.57,-1.04,-1.04,-12.72,27.5,-1.11,1933,893,2.440944879
193412,54.1,1371,4518,66.76,41.44,-6.68,-6.68,-79.64,25.79,-2.6,1934,973,2.228346454
193512,51.9,1187,4802,63.68,40.11,-3.1,-3.1,-21.97,29.48,-0.01,1935,1027,2.448818895
193612,52.15,1364,4808,64.6,39.7,-3.53,-3.53,-37.26,27.28,-1.76,1936,1130,2.295275588
193712,51.55,1245,4825,63.44,39.66,-2.32,-2.98,-29.72,30.51,-0.22,1937,1209,2.519685037
193812,53.18,1232,4335,65.22,41.14,0.08,-0.24,0.04,29.74,-0.09,1938,1142,2.622047241
193912,53.26,1308,4441,65.91,40.61,-2.88,-2.88,-32,26.33,-1.69,1939,1192,2.826771651
194012,51.89,1088,4945,63.73,40.04,-4.24,-4.84,-55.26,30.41,-0.78,1940,1299,2.618110234
194112,52.66,1233,4494,64.08,41.23,1.67,0.48,12.45,32.81,1.21,1941,1334,3.098425194
194212,51.84,1148,4675,63.85,39.82,3.19,3.19,37.99,31.33,0.88,1942,1342,3.098425194
194312,52.07,1241,4824,64.6,39.54,0.88,1.35,9.58,26.81,-0.58,1943,1391,3.098425194
194412,51.83,1236,4723,63.83,39.83,-0.15,-1.09,-4.63,30.62,-0.09,1944,1383,2.84645669
194512,51.75,1147,4684,63.69,39.8,2.06,2.06,24.61,33.03,1.31,1945,1160,2.95669291
